cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1420000,4.256,3.920,4.176,3.968,0.000,0.000
1422000,3.824,4.240,4.112,4.176,0.000,0.000
1424000,4.064,3.952,3.984,4.112,0.000,0.000
1426000,4.144,3.968,3.824,3.888,0.000,0.000
1428000,4.080,4.272,4.288,3.984,0.000,0.000
1430000,4.048,3.984,4.208,4.336,0.000,0.000
1432000,3.936,3.808,3.936,3.824,0.000,0.000
1434000,4.016,4.352,3.984,4.160,0.000,0.000
1436000,4.080,3.920,4.048,3.872,0.000,0.000
1438000,4.304,4.016,4.144,4.304,0.000,0.000
1440000,3.856,4.336,4.000,4.208,0.000,0.000
1442000,4.160,3.760,4.048,3.808,0.000,0.000
1444000,3.920,4.224,4.160,4.016,0.000,0.000
1446000,4.176,3.952,3.888,4.176,0.000,0.000
1448000,4.112,4.048,4.128,4.144,0.000,0.000
1450000,4.080,3.968,3.920,3.904,0.000,0.000
1452000,3.888,4.256,4.240,4.048,0.000,0.000
1454000,4.000,4.144,4.064,4.112,0.000,0.000
1456000,4.368,3.872,3.888,4.032,0.000,0.000
1458000,3.952,3.872,4.224,4.048,0.000,0.000
1460000,3.888,4.352,3.984,4.128,0.000,0.000
1462000,4.064,4.128,4.176,3.824,0.000,0.000
1464000,4.240,3.744,3.968,4.128,0.000,0.000
1466000,4.016,4.208,4.032,4.384,0.000,0.000
1468000,4.128,3.952,4.080,3.792,0.000,0.000
1470000,3.680,4.320,4.144,4.224,0.000,0.000
1472000,4.400,4.032,4.112,3.888,0.000,0.000
1474000,4.032,3.776,4.032,4.128,0.000,0.000
1476000,3.904,4.336,3.984,4.048,0.000,0.000
1478000,4.016,4.160,3.968,4.128,0.000,0.000
1480000,4.496,4.144,4.240,3.840,0.000,0.000
1482000,3.920,3.536,4.048,4.144,0.000,0.000
1484000,3.744,4.160,3.984,3.904,0.000,0.000
1486000,4.160,4.096,3.856,4.224,0.000,0.000
1488000,3.968,4.192,4.272,4.080,0.000,0.000
