Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
19800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.298623
19900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.757844
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.146244
20100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.520909
20200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.367795
20300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.467083
20400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.208185
20500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.634661
20600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.207038
20700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.188230
20800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.983481
20900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.846450
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.421081
21100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.080701
21200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.480027
21300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.254144
21400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.938329
21500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.750012
21600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.235585
21700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.322682
21800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.419027
21900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.663678
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.640062
22100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.875367
22200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.525450
22300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.323126
22400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.426554
22500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.380711
22600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.274834
22700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.516598
22800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.814193
22900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.175605
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.235897
23100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.200753
23200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.739196
23300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.910107
23400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.070853
23500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.286811
23600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.996540
23700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.061012
23800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.504202
23900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.722718
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.161971
24100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.946225
24200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.215216
24300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.661023
24400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.077392
24500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.053479
24600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.428754
24700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.420090
24800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.498181
24900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.483092
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.106896
25100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.639752
25200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.890285
25300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.497310
25400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.958422
25500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.464481
25600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.832066
25700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.460668
25800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.570922
25900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.322256
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.828028
26100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.525186
26200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.330029
26300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.145515
26400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.197233
26500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.224375
26600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.893393
26700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.994122
26800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.865870
26900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.261835
27000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.444517
27100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.852315
27200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.767854
27300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.876323
27400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.399533
27500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.156117
27600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.755481
27700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.698123
27800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.087530
27900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.049976
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.593164
28100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.219201
