Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1016700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.555850
1016800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.924800
1016900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.656656
1017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.328468
1017100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.527552
1017200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.336581
1017300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.260254
1017400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.119496
1017500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.260573
1017600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.893855
1017700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.413644
1017800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.353388
1017900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.624387
1018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.478545
1018100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.147650
1018200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.297325
1018300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.224587
1018400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.035476
1018500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.040333
1018600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.906162
1018700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.439174
1018800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.278774
1018900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.630287
1019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.605964
1019100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.495284
1019200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.450338
1019300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.324102
1019400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.700458
1019500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.909731
1019600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.927951
