cycle,pc,cta_id,cluster_id,warp_id,tid
17410,100,2,2,8,ffffffff
17411,120,2,2,1,ffffffff
17412,100,2,2,0,ffffffff
17413,120,2,2,6,ffffffff
17414,100,2,2,5,ffffffff
17415,120,2,2,4,ffffffff
17416,120,2,2,7,ffffffff
17424,110,2,2,5,ffffffff
17454,118,2,2,10,ffffffff
17473,120,2,2,3,ffffffff
17477,108,2,2,13,ffffffff
17487,110,2,2,13,ffffffff
17488,118,2,2,12,ffffffff
17489,118,2,2,11,ffffffff
17507,120,2,2,10,ffffffff
17510,120,2,2,12,ffffffff
17519,108,2,2,15,ffffffff
17523,118,2,2,5,ffffffff
17532,110,2,2,15,ffffffff
17544,120,2,2,11,ffffffff
17558,118,2,2,14,ffffffff
17577,120,2,2,5,ffffffff
17587,108,2,2,8,ffffffff
17592,118,2,2,13,ffffffff
17597,110,2,2,8,ffffffff
17800,108,2,2,0,ffffffff
17810,110,2,2,0,ffffffff
17947,118,2,2,15,ffffffff
17953,128,2,2,1,ffffffff
17963,130,2,2,1,ffffffff
18128,128,2,2,6,ffffffff
18138,130,2,2,6,ffffffff
18521,128,2,2,4,ffffffff
18889,118,2,2,3,ffffffff
18892,118,2,2,8,ffffffff
18898,130,2,2,4,ffffffff
18982,138,2,2,1,ffffffff
18984,138,2,2,6,ffffffff
19173,128,2,2,9,ffffffff
19183,130,2,2,9,ffffffff
19241,128,2,2,7,ffffffff
19251,130,2,2,7,ffffffff
19265,128,2,2,3,ffffffff
19275,130,2,2,3,ffffffff
19382,138,2,2,4,ffffffff
19387,138,2,2,9,ffffffff
19391,128,2,2,12,ffffffff
19401,130,2,2,12,ffffffff
19471,128,2,2,10,ffffffff
19481,130,2,2,10,ffffffff
19599,128,2,2,11,ffffffff
19670,118,2,2,0,ffffffff
19677,120,2,2,14,ffffffff
19678,120,2,2,13,ffffffff
19679,120,2,2,15,ffffffff
19680,120,2,2,8,ffffffff
19680,138,2,2,7,ffffffff
19681,140,2,2,1,ffffffff
19682,140,2,2,6,ffffffff
19683,120,2,2,0,ffffffff
19684,130,2,2,11,ffffffff
19684,140,2,2,4,ffffffff
19771,128,2,2,14,ffffffff
19781,130,2,2,14,ffffffff
20310,138,2,2,12,ffffffff
20311,138,2,2,10,ffffffff
20328,138,2,2,11,ffffffff
20429,138,2,2,14,ffffffff
20508,128,2,2,2,ffffffff
20547,130,2,2,2,ffffffff
20653,128,2,2,5,ffffffff
20663,130,2,2,5,ffffffff
20728,128,2,2,13,ffffffff
20772,128,2,2,15,ffffffff
20908,128,2,2,8,ffffffff
21013,138,2,2,3,ffffffff
21014,138,2,2,2,ffffffff
21044,148,2,2,6,ffffffff
21250,148,2,2,1,ffffffff
21422,128,2,2,0,ffffffff
21429,130,2,2,13,ffffffff
21429,130,2,2,15,ffffffff
21429,130,2,2,8,ffffffff
21429,150,2,2,6,ffffffff
21431,150,2,2,1,ffffffff
21432,130,2,2,0,ffffffff
21500,138,2,2,5,ffffffff
21558,138,2,2,8,ffffffff
21597,138,2,2,13,ffffffff
21602,158,2,2,6,ffffffff
21614,138,2,2,15,ffffffff
22294,148,2,2,4,ffffffff
22329,148,2,2,9,ffffffff
22360,140,2,2,5,ffffffff
22362,140,2,2,9,ffffffff
22363,140,2,2,7,ffffffff
22364,140,2,2,3,ffffffff
22365,140,2,2,12,ffffffff
22365,140,2,2,13,ffffffff
22366,140,2,2,10,ffffffff
22366,160,2,2,6,ffffffff
22367,140,2,2,14,ffffffff
22367,140,2,2,8,ffffffff
